Time(s),CH1V
1.310000e-07,-4.666667e-05
1.315000e-07,6.000000e-05
1.320000e-07,9.466666e-04
1.325000e-07,6.133333e-04
1.330000e-07,6.000000e-05
1.335000e-07,9.466666e-04
1.340000e-07,2.866667e-04
1.345000e-07,3.933333e-04
1.350000e-07,6.000000e-05
1.355000e-07,-4.933333e-04
1.360000e-07,-3.800000e-04
1.365000e-07,-1.373333e-03
1.370000e-07,-9.333334e-04
1.375000e-07,-1.600000e-04
1.380000e-07,-6.000000e-04
1.385000e-07,-2.666667e-04
1.390000e-07,3.933333e-04
1.395000e-07,-1.600000e-04
1.400000e-07,-2.666667e-04
1.405000e-07,-2.666667e-04
1.410000e-07,1.060000e-03
1.415000e-07,7.266667e-04
1.420000e-07,-3.800000e-04
1.425000e-07,7.266667e-04
1.430000e-07,3.933333e-04
1.435000e-07,-2.666667e-04
1.440000e-07,6.133333e-04
1.445000e-07,-2.666667e-04
1.450000e-07,-2.666667e-04
1.455000e-07,3.933333e-04
1.460000e-07,-1.046667e-03
1.465000e-07,-1.593333e-03
1.470000e-07,-8.200000e-04
1.475000e-07,-1.266667e-03
1.480000e-07,-1.373333e-03
1.485000e-07,-1.926667e-03
1.490000e-07,-1.926667e-03
1.495000e-07,-1.593333e-03
1.500000e-07,-1.820000e-03
1.505000e-07,-2.700000e-03
1.510000e-07,-1.926667e-03
1.515000e-07,-1.593333e-03
1.520000e-07,-1.373333e-03
1.525000e-07,-1.266667e-03
1.530000e-07,-1.153333e-03
1.535000e-07,-1.600000e-04
1.540000e-07,-6.000000e-04
1.545000e-07,-1.593333e-03
1.550000e-07,-8.200000e-04
