Time(s),CH1V,CH2V,CH3V,CH4V
-2.810000e-07,4.740000e-04,3.120000e-04,-3.486667e-04,4.666667e-04
-2.800000e-07,5.986667e-04,1.413333e-04,-2.006667e-04,8.133333e-04
-2.790000e-07,3.153333e-04,1.200000e-04,2.200000e-04,1.200000e-04
-2.780000e-07,2.020000e-04,1.413333e-04,2.880000e-04,4.666667e-04
-2.770000e-07,-8.133333e-05,7.386667e-04,8.333333e-05,1.273333e-03
-2.760000e-07,-4.733333e-05,7.386667e-04,1.973333e-04,2.193333e-03
-2.750000e-07,-1.833333e-04,5.040000e-04,1.740000e-04,-3.400000e-04
-2.740000e-07,8.866667e-05,9.520000e-04,1.286667e-04,6.666667e-06
-2.730000e-07,3.493333e-04,8.240000e-04,-3.033333e-04,1.040000e-03
-2.720000e-07,3.833333e-04,7.386667e-04,-1.440000e-04,1.846667e-03
-2.710000e-07,4.286667e-04,5.040000e-04,-1.893333e-04,-1.033333e-03
-2.700000e-07,6.213333e-04,3.466667e-05,-5.266667e-05,4.666667e-04
-2.690000e-07,3.153333e-04,7.173333e-04,-3.000000e-05,9.266667e-04
-2.680000e-07,1.113333e-04,9.733333e-04,1.973333e-04,1.040000e-03
-2.670000e-07,-2.966667e-04,4.613333e-04,3.800000e-05,2.333333e-04
-2.660000e-07,-3.193333e-04,2.053333e-04,3.560000e-04,1.200000e-04
-2.650000e-07,-2.173333e-04,3.973333e-04,1.173333e-04,1.846667e-03
-2.640000e-07,1.453333e-04,4.400000e-04,-8.733333e-05,1.273333e-03
-2.630000e-07,2.700000e-04,4.186667e-04,-2.460000e-04,6.933333e-04
-2.620000e-07,4.853333e-04,7.173333e-04,1.533333e-05,6.933333e-04
-2.610000e-07,6.100000e-04,4.613333e-04,-1.440000e-04,1.500000e-03
-2.600000e-07,5.420000e-04,8.880000e-04,8.333333e-05,1.273333e-03
-2.590000e-07,2.020000e-04,3.466667e-05,2.540000e-04,-4.533333e-04
-2.580000e-07,-7.000000e-05,2.480000e-04,4.013333e-04,6.933333e-04
-2.570000e-07,-1.380000e-04,8.240000e-04,2.540000e-04,1.846667e-03
-2.560000e-07,-8.133333e-05,1.058667e-03,9.466667e-05,1.153333e-03
-2.550000e-07,1.906667e-04,6.320000e-04,-1.213333e-04,8.133333e-04
-2.540000e-07,2.133333e-04,1.101333e-03,-1.893333e-04,1.846667e-03
-2.530000e-07,4.853333e-04,5.680000e-04,-2.686667e-04,1.040000e-03
-2.520000e-07,4.513333e-04,4.613333e-04,4.000000e-06,1.040000e-03
-2.510000e-07,2.473333e-04,6.106666e-04,-1.866667e-05,-6.866666e-04
-2.500000e-07,3.266667e-04,5.253333e-04,1.740000e-04,8.133333e-04
-2.490000e-07,5.466667e-05,4.186667e-04,2.766667e-04,1.960000e-03
-2.480000e-07,-1.266667e-04,3.760000e-04,1.740000e-04,1.960000e-03
-2.470000e-07,-1.946667e-04,2.480000e-04,2.086667e-04,1.200000e-04
-2.460000e-07,1.453333e-04,7.386667e-04,4.000000e-06,6.933333e-04
-2.450000e-07,2.360000e-04,5.040000e-04,3.800000e-05,9.266667e-04
-2.440000e-07,5.080000e-04,8.880000e-04,-1.893333e-04,1.040000e-03
-2.430000e-07,4.740000e-04,9.866666e-05,-1.213333e-04,2.333333e-04
-2.420000e-07,2.133333e-04,4.186667e-04,-5.266667e-05,1.200000e-04
-2.410000e-07,1.453333e-04,8.453333e-04,-6.466667e-05,1.620000e-03
-2.400000e-07,8.866667e-05,5.680000e-04,3.106667e-04,1.846667e-03
-2.390000e-07,-5.866666e-05,7.600000e-04,1.973333e-04,9.266667e-04
-2.380000e-07,-1.040000e-04,6.106666e-04,1.400000e-04,2.333333e-04
-2.370000e-07,9.333333e-06,8.026666e-04,-7.600000e-05,1.620000e-03
-2.360000e-07,1.453333e-04,9.306667e-04,-1.866667e-05,1.846667e-03
-2.350000e-07,2.246667e-04,5.600000e-05,-4.133333e-05,-2.266667e-04
-2.340000e-07,3.493333e-04,2.480000e-04,-4.133333e-05,-3.400000e-04
-2.330000e-07,2.700000e-04,7.386667e-04,-4.133333e-05,4.666667e-04
-2.320000e-07,3.493333e-04,6.746667e-04,7.200000e-05,2.080000e-03
-2.310000e-07,1.793333e-04,1.840000e-04,6.066667e-05,1.200000e-04
-2.300000e-07,1.113333e-04,3.973333e-04,1.973333e-04,2.333333e-04
-2.290000e-07,-1.946667e-04,2.480000e-04,9.466667e-05,8.133333e-04
-2.280000e-07,-4.733333e-05,1.101333e-03,1.286667e-04,1.386667e-03
-2.270000e-07,2.926667e-04,2.906667e-04,-5.266667e-05,4.666667e-04
-2.260000e-07,2.360000e-04,3.120000e-04,-1.100000e-04,-9.200000e-04
-2.250000e-07,3.040000e-04,5.253333e-04,-2.006667e-04,1.153333e-03
-2.240000e-07,4.853333e-04,5.040000e-04,4.933333e-05,1.620000e-03
-2.230000e-07,3.266667e-04,1.037333e-03,1.286667e-04,1.200000e-04
-2.220000e-07,4.333333e-05,9.520000e-04,9.466667e-05,-3.400000e-04
-2.210000e-07,-1.333333e-05,6.320000e-04,1.173333e-04,2.193333e-03
-2.200000e-07,-1.333333e-05,6.960000e-04,3.106667e-04,2.080000e-03
-2.190000e-07,1.340000e-04,1.413333e-04,1.740000e-04,6.666667e-06
-2.180000e-07,2.020000e-04,7.813333e-04,2.666667e-05,-3.400000e-04
-2.170000e-07,3.720000e-04,6.533333e-04,-8.733333e-05,1.620000e-03
-2.160000e-07,5.420000e-04,7.813333e-04,-1.893333e-04,1.960000e-03
-2.150000e-07,2.700000e-04,2.906667e-04,-3.000000e-05,1.200000e-04
-2.140000e-07,3.720000e-04,3.120000e-04,1.060000e-04,-1.133333e-04
-2.130000e-07,3.200000e-05,5.040000e-04,3.800000e-05,1.620000e-03
-2.120000e-07,-8.133333e-05,6.960000e-04,-1.866667e-05,2.540000e-03
-2.110000e-07,-9.266667e-05,2.266667e-04,2.200000e-04,-3.400000e-04
-2.100000e-07,-1.333333e-05,1.037333e-03,2.313333e-04,1.200000e-04
-2.090000e-07,3.493333e-04,7.813333e-04,-6.466667e-05,1.273333e-03
-2.080000e-07,3.493333e-04,6.106666e-04,-2.233333e-04,1.500000e-03
-2.070000e-07,4.513333e-04,3.120000e-04,-1.666667e-04,8.133333e-04
-2.060000e-07,4.513333e-04,2.053333e-04,4.000000e-06,2.333333e-04
-2.050000e-07,1.793333e-04,8.880000e-04,-7.600000e-05,1.273333e-03
-2.040000e-07,3.720000e-04,8.240000e-04,-3.000000e-05,2.080000e-03
-2.030000e-07,9.333333e-06,3.546667e-04,2.666667e-05,6.666667e-06
-2.020000e-07,1.000000e-04,3.973333e-04,4.126667e-04,3.466667e-04
-2.010000e-07,1.000000e-04,5.253333e-04,3.800000e-05,1.273333e-03
-2.000000e-07,1.906667e-04,1.037333e-03,6.066667e-05,5.800000e-04
-1.990000e-07,1.566667e-04,1.840000e-04,-7.333333e-06,6.933333e-04
-1.980000e-07,6.440000e-04,8.453333e-04,-5.266667e-05,6.666667e-06
-1.970000e-07,3.833333e-04,5.680000e-04,-2.006667e-04,4.666667e-04
-1.960000e-07,4.966666e-04,6.106666e-04,1.513333e-04,1.733333e-03
-1.950000e-07,1.226667e-04,3.120000e-04,2.666667e-05,-1.133333e-04
-1.940000e-07,4.333333e-05,7.813333e-04,2.653333e-04,6.666667e-06
-1.930000e-07,-1.040000e-04,4.613333e-04,1.400000e-04,1.500000e-03
-1.920000e-07,-4.733333e-05,6.320000e-04,6.066667e-05,1.960000e-03
-1.910000e-07,1.000000e-04,7.813333e-04,2.426667e-04,-5.733334e-04
-1.900000e-07,1.113333e-04,4.826667e-04,1.740000e-04,5.800000e-04
-1.890000e-07,2.926667e-04,8.880000e-04,-5.266667e-05,4.666667e-04
-1.880000e-07,5.533333e-04,1.208000e-03,-1.100000e-04,1.040000e-03
-1.870000e-07,4.966666e-04,6.320000e-04,-1.893333e-04,2.333333e-04
-1.860000e-07,1.566667e-04,3.973333e-04,8.333333e-05,1.200000e-04
-1.850000e-07,-2.000000e-06,8.453333e-04,-1.866667e-05,1.273333e-03
-1.840000e-07,-1.946667e-04,6.320000e-04,3.106667e-04,1.040000e-03
-1.830000e-07,8.866667e-05,9.306667e-04,6.066667e-05,6.666667e-06
-1.820000e-07,-1.266667e-04,5.040000e-04,3.106667e-04,2.333333e-04
-1.810000e-07,2.246667e-04,6.320000e-04,-1.866667e-05,1.040000e-03
-1.800000e-07,4.626667e-04,5.040000e-04,4.933333e-05,9.266667e-04
-1.790000e-07,5.193333e-04,3.466667e-05,-3.146667e-04,1.153333e-03
-1.780000e-07,4.173333e-04,2.266667e-04,4.000000e-06,3.466667e-04
-1.770000e-07,2.700000e-04,4.186667e-04,-1.440000e-04,8.133333e-04
-1.760000e-07,2.020000e-04,1.037333e-03,1.400000e-04,1.620000e-03
-1.750000e-07,-7.000000e-05,9.306667e-04,8.333333e-05,6.666667e-06
-1.740000e-07,-8.133333e-05,6.533333e-04,1.513333e-04,6.933333e-04
-1.730000e-07,-3.600000e-05,6.746667e-04,1.533333e-05,6.933333e-04
-1.720000e-07,6.600000e-05,4.613333e-04,9.466667e-05,1.500000e-03
-1.710000e-07,4.966666e-04,3.546667e-04,-5.266667e-05,4.666667e-04
